Otu,Size,ID,Organism_Class,Organism_Order,Trophic function,Trophic status,Lifestyle,Growth form,#Accession,%identite,Longueur,BitScore,Gateway Hill-M6-1-Min10,Gateway Hill-M6-2-Min10,Gateway Hill-M6-3-Min10,Gateway Hill-M7-1-Min10,Gateway Hill-Sw-1-Org,Gateway Hill-Sw-1-Roots,Gateway Hill-Sw-1-Min10,Gateway Hill-Sw-1-Min35,Gateway Hill-Sw-2-Org,Gateway Hill-Sw-2-Roots,Gateway Hill-Sw-2-Min10,Gateway Hill-Sw-2-Min35,Gateway Hill-M2-1-Min10,Gateway Hill-M2-2-Min10,Gateway Hill-M2-3-Min10,Gateway Hill-M7-2-Min10,Gateway Hill-M7-3-Min10,Gateway Hill-M8-1-Min10,Gateway Hill-M8-2-Min10,Gateway Hill-M8-3-Min10,Gateway Hill-M14-1-Min10,Gateway Hill-M14-2-Min10,Gateway Hill-M14-3-Min10,Fort Chipewayn-TR1B-1-Min10,Fort Chipewayn-TR1B-2-Min10,Fort Chipewayn-TR1B-3-Min10,Fort Chipewayn-TR1P-1-Min10,Fort Chipewayn-TR1P-2-Min10,Fort Chipewayn-TR1P-3-Min10
OTU_3261,5,Tomentella coerulea isolate PA46 18S rib,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KR019826.1,95.7,329,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3262,5,"Wilcoxina rehmii 18S ribosomal RNA, part",Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,U38634.1,97.7,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
OTU_3263,5,Ericoid mycorrhizal sp. Sm5 internal tra,,,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,AY046400.1,97.9,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_3264,5,Mortierella sp. TR158 18S ribosomal RNA ,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,HQ608143.1,96.7,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
OTU_3265,5,Tomentella coerulea isolate PA46 18S rib,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KR019826.1,95.1,329,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3266,5,Russula odorata voucher DG05-48 18S ribo,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JQ888198.1,96.8,311,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3267,5,Piloderma sphaerosporum isolate FFP835 1,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JQ711958.1,97.2,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OTU_3268,5,Geomyces pannorum strain CCF 3581 18S ri,Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,DQ494320.1,98.3,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3269,5,Phialocephala fortinii isolate KK19.2 sm,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KY322548.1,97.4,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
OTU_3270,5,OTU_3270,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_3271,5,Sebacina epigaea voucher TUB 019992 18S ,Agaricomycetes,Sebacinales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KF000421.1,96,303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_3272,5,Amphinema byssoides voucher UC2023223 18,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814522.1,97,300,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3273,5,"Ramaria abietina 18S rRNA gene, 5.8S rRN",Agaricomycetes,Gomphales,Symbiotroph/Ectomycorrhizal/white rot,Symbiotroph,Ectomycorrhizal,White rot,AJ408383.1,95.7,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3274,5,Roseodiscus subcarneus isolate D. Haelew,Leotiomycetes,Helotiales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KT972714.1,95.1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
OTU_3275,5,Hebeloma ingratum isolate 9233 internal ,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT217564.1,96.5,370,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3276,5,Amphinema byssoides isolate PS13 small s,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT182915.1,97,298,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3277,5,OTU_3277,,,,,,,,,,,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3278,5,Tomentella coerulea isolate PA46 18S rib,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KR019826.1,95.4,329,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3279,4,Ochroconis bacilliformis strain CBS 1004,Dothideomycetes,Venturiales,Saprotroph,Saprotroph,Saprotroph,,KP798632.1,100,342,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3280,4,Pseudotaeniolina globosa isolate ICP1002,Dothideomycetes,Capnodiales,Unknown Function,Unknown Function,Unknown Function,,KC311489.1,87.9,281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_3281,4,Pseudogymnoascus roseus strain S8A2CN sm,Leotiomycetes,Incertae sedis,Saprotroph/Pathogen,Saprotroph,Pathogen,,KY305084.1,94.7,302,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3282,4,Lecidella flavosorediata isolate LIFU086,Lecanoromycetes,Lecanorales,Symbiotroph/Lichenized,Symbiotroph,Lichenized,,KX132994.1,94.7,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_3283,4,Clavaria flavipes voucher OJ362006 (BRA),Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KC759451.1,92.9,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3284,4,OTU_3284,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3285,4,OTU_3285,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_3286,4,OTU_3286,,,,,,,,,,,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3287,4,OTU_3287,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3288,4,OTU_3288,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3289,4,OTU_3289,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3290,4,Alfaria ossiformis CBS 324.54 ITS region,,,,,,,NR_145068.1,92.1,291,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3291,4,Zopfiella erostrata strain CBS 255.71 18,Sordariomycetes,Sordariales,Saprotroph,Saprotroph,Saprotroph,,AY999133.1,99.3,267,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3292,4,Naganishia albidosimilis culture-collect,,,,,,,KY104319.1,100,284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
OTU_3293,4,Bensingtonia yuccicola isolate AFTOL-ID ,Agaricostilbomycetes,Agaricostilbales,Saprotroph/White rot/yeast,Saprotroph,White rot,White rot,DQ200919.1,85.8,318,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3294,4,Ijuhya vitellina strain 41ED internal tr,Sordariomycetes,Hypocreales,Saprotroph,Saprotroph,Saprotroph,,KY607535.1,89.3,291,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_3295,4,Sakaguchia lamellibrachiae genes for 18S,Cystobasidiomycetes,Erythrobasidiales,Saprotroph,Saprotroph,Saprotroph,,AB263122.1,88.6,273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU_3296,4,Sporormiella leporina voucher S:Lundqvis,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,GQ203781.1,96.5,227,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3297,4,Pochonia suchlasporia genes for 18S rRNA,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,AB214658.1,82.8,325,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_3298,4,Pseudopenidiella piceae strain CPC 19969,Dothideomycetes,Capnodiales,Saprotroph,Saprotroph,Saprotroph,,JX069868.1,88.9,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3299,4,OTU_3299,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3300,4,Tylospora sp. 1 LR-2015 voucher UC202292,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814163.1,98.1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
OTU_3301,4,OTU_3301,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3302,4,Lecanoromycetidae sp. RB-2011 voucher LF,,,,,,,JQ272389.1,85.7,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_3303,4,Mycena vulgaris voucher 447h 18S ribosom,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,JF908435.1,98.6,368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_3304,4,Coniochaeta gigantospora isolate caf5 18,Sordariomycetes,Coniochaetales,Saprotroph,Saprotroph,Saprotroph,,KP119482.1,91.2,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_3305,4,OTU_3305,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3306,4,OTU_3306,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3307,4,Metarhizium flavoviride strain NHJ10979 ,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,AY646379.1,87.5,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_3308,4,OTU_3308,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_3309,4,Rhizoscyphus ericae isolate FFP629 18S r,Leotiomycetes,Helotiales,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,JQ711893.1,89.3,319,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3310,4,OTU_3310,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_3311,4,Trichoderma citrinoviride isolate CY121 ,Sordariomycetes,Hypocreales,Saprotroph,Saprotroph,Saprotroph,,HQ607970.1,100,349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3312,4,Umbilicaria calvescens isolate AFTOL-ID ,Lecanoromycetes,Umbilicariales,Symbiotroph/Lichenized,Symbiotroph,Lichenized,,HM161506.1,84.4,302,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3313,4,OTU_3313,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3314,4,OTU_3314,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_3315,4,Mytilinidion mytilinellum culture-collec,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,HM163570.1,86.4,369,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3316,4,Sakaguchia lamellibrachiae genes for 18S,Cystobasidiomycetes,Erythrobasidiales,Saprotroph,Saprotroph,Saprotroph,,AB263122.1,89.6,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
OTU_3317,4,Rhizopogon luteorubescens isolate NJDRS1,Agaricomycetes,Boletales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX833229.1,100,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
OTU_3318,4,OTU_3318,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
OTU_3319,4,Lecanicillium fungicola strain 4645 18S ,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,JX500428.1,96.1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3320,4,Petrakia echinata strain L55 18S ribosom,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KY189981.1,91,268,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3321,4,OTU_3321,,,,,,,,,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3322,4,Coniochaeta sp. strain 202 internal tran,Sordariomycetes,Coniochaetales,Saprotroph,Saprotroph,Saprotroph,,KX774132.1,100,217,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_3323,4,Trichothecium crotocinigenum strain D2A(,Sordariomycetes,Hypocreales,Unknown Function,Unknown Function,Unknown Function,,KX610402.1,93.8,273,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_3324,4,Leucosporidium fasciculatum culture-coll,Microbotryomycetes,Leucosporidiales,Saprotroph/Yeast,Saprotroph,Yeast,Yeast,KY104018.1,85.3,273,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3325,4,Chaetomium sp. ATT052 18S ribosomal RNA ,Sordariomycetes,Sordariales,Saprotroph,Saprotroph,Saprotroph,,HQ607819.1,84,294,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3326,4,OTU_3326,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3327,4,Trimorphomyces sp. strain BSB35 internal,Tremellomycetes,Tremellales,Saprotroph,Saprotroph,Saprotroph,,KY305144.1,90.1,203,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_3328,4,OTU_3328,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
OTU_3329,4,OTU_3329,,,,,,,,,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3330,4,Rhodotorula diffluens IMUFRJ 51950 ITS1 ,Microbotryomycetes,Sporidiobolales,Saprotroph,Saprotroph,Saprotroph,,FN424107.1,87.6,226,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3331,4,Rhodotorula sp. AY214 isolate AEG-2-20 s,Microbotryomycetes,Sporidiobolales,Saprotroph,Saprotroph,Saprotroph,,KY083054.1,85.7,315,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_3332,4,Plectosphaerella cucumerina strain EECC-,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KP942934.1,95.9,271,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3333,4,OTU_3333,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3334,4,Cyphellophora gamsii strain CPC 25867 18,Eurotiomycetes,Chaetothyriales,Saprotroph,Saprotroph,Saprotroph,,KX228255.1,88.3,333,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3335,4,Sporormiella leporina voucher S:Lundqvis,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,GQ203781.1,90.5,232,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3336,4,Amphinema byssoides UC2022815 18S riboso,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814524.1,94.2,309,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3337,4,Lecanicillium sp. JCM 28134 genes for 18,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,LC145294.1,90.7,301,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3338,4,Sporobolomyces ruberrimus strain CBS 755,Microbotryomycetes,Sporidiobolales,Biotroph/Mycoparasite,Biotroph,Mycoparasite,,KJ778639.1,100,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3339,4,OTU_3339,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU_3340,4,Preussia sp. PAL2.1 18S ribosomal RNA ge,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,JN418778.1,89.7,273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3341,4,Pseudeurotium sp. OTU018 AN-2016 18S rib,Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,KU556501.1,90.1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3342,4,Inocybe flocculosa strain HRL1870 small ,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX897453.1,87.8,386,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3343,4,Arthrocatena tenebrio CCFEE 5413 ITS reg,,,,,,,NR_144971.1,97.5,238,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_3344,4,OTU_3344,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_3345,4,OTU_3345,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3346,4,Mycena rebaudengoi voucher 861 18S ribos,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,JF908477.1,83.7,399,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3347,4,Russula decolorans isolate FFP858 18S ri,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JQ711959.1,89,317,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3348,4,OTU_3348,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_3349,4,OTU_3349,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3350,4,"Wilcoxina rehmii 18S ribosomal RNA, part",Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,U38634.1,98.2,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_3351,4,Phaeosclera dematioides CBS 157.81 ITS r,Dothideomycetes,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,NR_145341.1,99.3,270,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3352,4,Ceratobasidium sp. MB-2014b 18S ribosoma,Agaricomycetes,Cantharellales,Saprotroph/Brown rot,Saprotroph,Brown rot,Brown rot,KP056302.1,92.7,328,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3353,4,Phialocephala virens CBS 452.92 ITS regi,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,NR_103564.1,96.3,300,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3354,4,Phialophora mustea strain SBB-B small su,Eurotiomycetes,Chaetothyriales,Saprotroph/Facultative yeast,Saprotroph,Facultative yeast,Facultative yeast,KX000265.1,83.6,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
OTU_3355,4,Pleiochaeta carotae strain CPC 27452 18S,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KY905669.1,96,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
OTU_3356,4,Entoloma nidorosum voucher UBC herbarium,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,GU477559.1,97.9,326,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3357,4,Geminibasidium hirsutum strain DAOM 2419,Wallemiomycetes,Geminibasidiales,Saprotroph,Saprotroph,Saprotroph,,JX242880.1,94.8,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
OTU_3358,4,Infundichalara microchona small subunit ,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KF156300.1,89,292,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3359,4,Teratosphaeria pseudafricana strain PM16,Dothideomycetes,Capnodiales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,JN232423.1,88.9,280,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3360,4,Lyophyllum maleolens isolate FR2014066 1,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP192624.1,96.4,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
OTU_3361,4,Gorgomyces honrubiae strain CCM F-12003 ,Leotiomycetes,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KC834057.1,93.5,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3362,4,Pseudeurotium sp. OTU018 AN-2016 18S rib,Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,KU556501.1,92.8,291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3363,4,Richoniella sp. MEL 2238625 18S ribosoma,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KP191911.1,86.5,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
